V1,V2,V3,V4,V5,V7,V8,V9,V10,Intro,Q54,Q55,Syn1: A,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Syn1: N,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Syn2: A,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Syn2: N,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Syn3: A,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Syn3: N,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Emo1: A,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Emo1: N,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Emo2: A,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Emo2: N,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Emo3: A,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Emo3: N,Q40_1,Q40_2,Q40_3,Q40_4,Q40_5,Q40_6,Lex1: A,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Lex1: N,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Lex2: A,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Lex2: N,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Lex3: A,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Lex3: N,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Spac1: A,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Spac1: N,Q48_1,Q48_2,Q48_3,Q48_4,Q48_5,Q48_6,Spac2: A,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Spac2: N,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Spac3: N,Q52_1,Q52_2,Q52_3,Q52_4,Q52_5,Q52_6,Spac3: A,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q56
R_3qm1lcm8EHbJZG9,Default Response Set,Anonymous,,,0,7/27/15 15:21,7/27/15 15:28,1,1,2,1980,,,,,,,,1,5,6,6,5,5,4,1,,5,6,6,5,6,,,,,,,,1,3,3,2,3,3,2,,,,,,,,1,5,6,6,5,6,6,,,,,,,,1,5,6,6,5,5,4,,,,,,,,1,6,6,5,6,6,5,,,,,,,,,,,,,,,1,5,6,6,5,6,6,1,6,5,6,6,5,6,,,,,,,,,,,,,,,1,3,3,2,3,3,2,1,5,6,5,5,6,6,,,,,,,,,,,,,,,1,5,6,6,5,6,6,1,5,6,6,5,6,6,,,,,,,,1
R_1GOL20Wyxo1FiVZ,Default Response Set,Anonymous,,,0,7/27/15 15:19,7/27/15 15:31,1,1,2,1990,1,1,1,1,1,1,1,,,,,,,,1,2,2,2,2,2,5,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,4,4,4,4,4,4,1,1,1,1,1,1,1,,,,,,,,1,7,7,7,7,7,7,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,4,1,1,1,,,,,,,,,,,,,,,1,1,1,4,1,1,1,1,2,2,4,2,2,3,,,,,,,,1
R_3p9ofeZdgGE3FWk,Default Response Set,Anonymous,,,0,7/27/15 15:29,7/27/15 15:33,1,1,2,1980,1,5,4,5,5,6,5,,,,,,,,1,6,6,5,6,5,5,,,,,,,,1,3,2,2,3,2,2,,,,,,,,1,6,6,5,6,5,5,,,,,,,,1,4,5,5,4,4,5,,,,,,,,1,5,4,4,5,4,4,,,,,,,,1,5,4,5,5,4,5,,,,,,,,,,,,,,,1,5,4,5,4,3,3,,,,,,,,1,4,4,3,2,4,3,,,,,,,,1,5,4,5,4,4,4,1,6,6,5,6,6,6,,,,,,,,1,5,5,6,5,4,5,,,,,,,,1
R_1Itj9IHUJKjQzZq,Default Response Set,Anonymous,,,0,7/27/15 15:20,7/27/15 15:39,1,1,2,1978,,,,,,,,1,7,7,7,7,7,7,,,,,,,,1,6,5,7,7,7,7,,,,,,,,1,5,5,7,6,6,7,1,5,7,7,6,7,7,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,3,2,1,6,6,7,7,7,7,,,,,,,,,,,,,,,1,7,7,7,7,7,7,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,3,3,6,4,4,5,,,,,,,,1,4,4,5,4,5,4,,,,,,,,1,4,5,7,7,7,7,1
R_2v7Cvl6NaNviCVg,Default Response Set,Anonymous,,,0,7/27/15 15:43,7/27/15 15:51,1,1,1,1990,1,5,5,5,4,6,6,,,,,,,,,,,,,,,1,6,6,6,6,6,6,,,,,,,,1,6,6,6,6,6,6,1,5,4,4,5,5,5,,,,,,,,1,4,3,4,5,3,3,,,,,,,,1,4,4,6,5,4,3,,,,,,,,,,,,,,,1,5,6,5,6,6,6,,,,,,,,1,4,5,4,6,4,4,,,,,,,,1,3,2,2,2,2,2,1,5,5,4,5,5,5,,,,,,,,1,5,6,6,6,6,6,,,,,,,,1,3,3,4,4,3,3,,,,,,,,1
R_234s6fTLqbFzkcb,Default Response Set,Anonymous,,,0,7/27/15 15:45,7/27/15 15:58,1,1,1,1971,1,5,6,5,6,6,7,,,,,,,,1,5,5,5,6,5,6,,,,,,,,,,,,,,,1,5,4,5,3,3,5,,,,,,,,1,3,3,4,2,2,3,1,5,5,6,5,5,6,,,,,,,,,,,,,,,1,3,2,4,3,2,4,1,6,7,7,7,7,7,,,,,,,,1,4,4,5,4,4,6,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,5,6,6,5,6,6,,,,,,,,1,4,5,4,4,4,5,,,,,,,,,,,,,,,1,5,5,5,6,6,5,1
R_1mwU1uE7aukB1fA,Default Response Set,Anonymous,,,1,7/27/15 16:43,7/27/15 16:43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cvhZLwo6sV9DAyZ,Default Response Set,Anonymous,,,0,7/27/15 12:20,7/27/15 12:20,0,1,2,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_NUPSHOjR2arm1Pz,Default Response Set,Anonymous,,,0,7/27/15 14:19,7/27/15 14:19,0,1,1,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2ebrqzSCGUM2Jx0,Default Response Set,Anonymous,,,0,7/27/15 14:19,7/27/15 14:19,0,1,2,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_PFLHzh9qQ2JzLt7,Default Response Set,Anonymous,,,0,7/27/15 14:19,7/27/15 14:22,0,1,2,1978,,,,,,,,,,,,,,,,,,,,,,1,4,3,4,4,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,5,5,5,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_VVd9w7sMmlPwShX,Default Response Set,Anonymous,,,0,7/27/15 14:25,7/27/15 14:25,0,1,1,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3QFqZhqIMU66I4V,Default Response Set,Anonymous,,,0,7/27/15 14:30,7/27/15 14:31,0,1,1,1991,1,6,6,6,6,6,6,,,,,,,,,,,,,,,1,5,5,5,5,5,5,1,5,5,5,5,5,5,,,,,,,,1,4,4,4,4,4,4,,,,,,,,1,5,5,5,5,5,5,,,,,,,,,,,,,,,1,6,6,6,6,6,6,,,,,,,,1,5,5,5,5,5,5,1,5,5,5,5,5,5,,,,,,,,1,5,5,5,5,5,5,,,,,,,,1,5,5,5,5,5,5,,,,,,,,1,5,5,5,5,5,5,,,,,,,,,,,,,,,1,6,6,6,6,6,6,
R_w5YPlWFhipEGmsh,Default Response Set,Anonymous,,,0,7/27/15 14:19,7/27/15 14:33,0,1,1,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,6,6,6,6,
R_3RvUO9LnQOIY3sd,Default Response Set,Anonymous,,,0,7/27/15 14:36,7/27/15 14:37,0,1,2,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3kb7cWeNmKzqjSh,Default Response Set,Anonymous,,,0,7/27/15 14:35,7/27/15 14:38,0,1,1,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_psKkGd60tstYpd7,Default Response Set,Anonymous,,,0,7/27/15 14:23,7/27/15 14:40,0,1,1,1982,1,6,7,6,7,7,6,,,,,,,,,,,,,,,1,4,5,6,6,5,6,1,4,5,3,4,5,5,,,,,,,,,,,,,,,1,6,5,6,6,5,5,1,5,6,6,6,5,6,,,,,,,,1,6,6,7,6,6,5,,,,,,,,1,4,5,5,6,5,5,,,,,,,,,,,,,,,1,5,5,6,6,5,6,,,,,,,,1,5,6,5,5,4,3,1,4,5,5,6,6,5,,,,,,,,,,,,,,,1,5,5,6,5,6,5,1,4,5,5,6,5,6,,,,,,,,
R_1kHXpNlSDiysL7J,Default Response Set,Anonymous,,,0,7/27/15 14:40,7/27/15 14:41,0,1,1,1991,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_25ZXGAZhIaO9hTg,Default Response Set,Anonymous,,,0,7/27/15 14:39,7/27/15 14:41,0,1,1,1984,,,,,,,,,,,,,,,1,5,5,4,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3kM9Mu3iBTTTZ4S,Default Response Set,Anonymous,,,0,7/27/15 14:41,7/27/15 14:42,0,1,1,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3EikDxKdBcWqjBG,Default Response Set,Anonymous,,,0,7/27/15 15:10,7/27/15 15:10,0,1,1,usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2zCQ3LYd637MkHy,Default Response Set,Anonymous,,,0,7/27/15 15:10,7/27/15 15:16,0,1,1,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bIrESNDi1nMMLUl,Default Response Set,Anonymous,,,0,7/27/15 15:07,7/27/15 15:19,0,1,2,1988,1,6,6,6,6,6,6,,,,,,,,,,,,,,,1,5,5,6,6,5,6,,,,,,,,1,4,4,6,5,5,4,,,,,,,,1,4,3,4,2,3,3,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,1,2,1,6,5,6,6,6,6,,,,,,,,1,6,6,7,7,6,6,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,7,6,7,6,,,,,,,,1,6,5,6,6,6,6,
R_24MLUDg54fiXRFk,Default Response Set,Anonymous,,,0,7/27/15 15:19,7/27/15 15:40,0,1,2,1970,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,
R_32KjSOSs7sbbkZ0,Default Response Set,Anonymous,,,0,7/27/15 15:29,7/27/15 15:43,0,1,2,1983,,,,,,,,1,7,6,7,5,5,7,,,,,,,,1,5,6,6,7,3,6,1,3,2,3,1,1,3,,,,,,,,,,,,,,,1,1,1,2,2,1,1,,,,,,,,1,1,1,1,1,1,2,,,,,,,,1,2,1,5,3,6,3,,,,,,,,1,5,7,6,6,3,7,1,5,7,7,6,6,7,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,3,1,3,2,5,2,1,2,2,6,5,7,3,,,,,,,,,,,,,,,1,2,4,6,5,5,5,
R_3mf3oUDlGluFdQn,Default Response Set,Anonymous,,,1,8/16/15 21:42,8/16/15 21:42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,